drive,room,modality,session,start_date,end_date,n_files,size_mb,dated,path
Poultry_Multimodal_SeptDec,Room8,audio,Oct18-20,2025-10-18,2025-10-20,13,26611.4,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room8/Oct18-20
Poultry_Multimodal_SeptDec,Room8,audio,Nov5-7,2025-11-05,2025-11-07,14,28297.5,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room8/Nov5-7
Poultry_Multimodal_SeptDec,Room8,audio,Nov12-14,2025-11-12,2025-11-14,13,26611.4,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room8/Nov12-14
Poultry_Multimodal_SeptDec,Room8,audio,Oct12-15,2025-10-12,2025-10-15,11,22517.4,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room8/Oct12-15
Poultry_Multimodal_SeptDec,Room8,audio,Nov28-Dec1,2025-11-28,2025-12-01,15,30414.5,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room8/Nov28-Dec1
Poultry_Multimodal_SeptDec,Room8,audio,Oct20-23,2025-10-20,2025-10-23,13,26611.4,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room8/Oct20-23
Poultry_Multimodal_SeptDec,Room8,audio,Oct23-27,2025-10-23,2025-10-27,15,30414.5,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room8/Oct23-27
Poultry_Multimodal_SeptDec,Room8,audio,Oct29-Nov3,2025-10-29,2025-11-03,15,30414.5,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room8/Oct29-Nov3
Poultry_Multimodal_SeptDec,Room8,audio,Sep 2-5,2025-09-02,2025-09-05,15,30414.4,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room8/Sep 2-5
Poultry_Multimodal_SeptDec,Room1,audio,Dec3-5,2025-12-03,2025-12-05,8,16376.3,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room1/Dec3-5
Poultry_Multimodal_SeptDec,Room1,audio,Dec5-8,2025-12-05,2025-12-08,13,26320.7,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room1/Dec5-8
Poultry_Multimodal_SeptDec,Room1,audio,Nov19-21,2025-11-19,2025-11-21,68,47093.9,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room1/Nov19-21
Poultry_Multimodal_SeptDec,Room1,audio,Nov26-28,2025-11-26,2025-11-28,11,22517.4,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room1/Nov26-28
Poultry_Multimodal_SeptDec,Room1,audio,Nov24-26,2025-11-24,2025-11-26,14,28658.4,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room1/Nov24-26
Poultry_Multimodal_SeptDec,Room1,audio,Nov14-17,2025-11-14,2025-11-17,14,28658.4,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room1/Nov14-17
Poultry_Multimodal_SeptDec,Room1,audio,Nov5-7,2025-11-05,2025-11-07,14,27566.9,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room1/Nov5-7
Poultry_Multimodal_SeptDec,Room1,audio,Oct15-18,2025-10-15,2025-10-18,15,30414.3,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room1/Oct15-18
Poultry_Multimodal_SeptDec,Room1,audio,Oct6-9,2025-10-06,2025-10-09,9,18423.3,True,/mnt/drive_bf/Poultry_Multimodal_SeptDec/Audio data/Room1/Oct6-9
