room,modality,earliest,latest,days_covered,sessions,files,size_gb,undated_sessions
Room1,audio,2025-06-06,2025-12-08,116,46,618,1121.05,0
Room1,thermal,2025-10-15,2025-11-28,12,12,472,0.02,0
Room2,audio,2025-06-06,2025-12-08,173,71,6686,1458.66,0
Room2,other,2025-09-02,2025-12-03,87,33,2439,865.46,0
Room2,thermal,2025-10-15,2025-11-28,12,12,500,0.02,0
Room2,video,2025-07-03,2025-09-01,51,20,1280,674.37,0
Room6,audio,2025-06-01,2025-10-23,85,22,882,1716.23,1
Room6,thermal,2025-10-15,2025-11-28,12,12,524,0.02,0
Room6,video,2025-07-03,2025-09-01,57,22,1453,573.15,0
Room7,thermal,2025-10-15,2025-11-28,12,12,528,0.02,0
Room8,audio,2025-06-06,2025-12-01,104,40,481,926.4,0
Room8,thermal,2025-10-15,2025-11-28,11,11,452,0.02,0
Room8,video,2025-07-03,2025-08-15,39,12,931,309.36,0
Room?,audio,2025-09-02,2025-09-29,25,8,1362,215.5,0
Room?,thermal,2025-06-06,2025-10-12,47,48,9982,0.42,0
