model,barn,magnitude,f1,recall
Classical,Room 2,0.5,0.154,0.092
Classical,Room 2,1.0,0.653,0.682
Classical,Room 2,1.5,0.725,1.0
Classical,Room 2,2.0,0.721,1.0
Classical,Room 2,2.5,0.721,1.0
Classical,Room 2,3.0,0.721,1.0
Classical,Room 6,0.5,0.442,0.39
Classical,Room 6,1.0,0.618,0.729
Classical,Room 6,1.5,0.631,0.762
Classical,Room 6,2.0,0.664,0.875
Classical,Room 6,2.5,0.688,0.983
Classical,Room 6,3.0,0.687,1.0
Deep,Room 2,0.5,0.357,0.286
Deep,Room 2,1.0,0.567,0.589
Deep,Room 2,1.5,0.693,1.0
Deep,Room 2,2.0,0.688,1.0
Deep,Room 2,2.5,0.688,1.0
Deep,Room 2,3.0,0.688,1.0
Deep,Room 6,0.5,0.529,0.613
Deep,Room 6,1.0,0.61,0.839
Deep,Room 6,1.5,0.619,0.885
Deep,Room 6,2.0,0.633,0.95
Deep,Room 6,2.5,0.638,0.996
Deep,Room 6,3.0,0.637,1.0
