variant,scorer,magnitude,auc
RAW,mahalanobis,1,0.5427666911640002
RAW,pca_recon,1,0.6019560178642094
RAW,mahalanobis,2,0.5980552885974335
RAW,pca_recon,2,0.8192662106393804
RAW,mahalanobis,3,0.6336706427723444
RAW,pca_recon,3,0.966363276612584
RAW,mahalanobis,4,0.6842105263157894
RAW,pca_recon,4,0.9995477415342868
RAW,mahalanobis,6,0.7030923172593136
RAW,pca_recon,6,1.0
DETREND,mahalanobis,1,0.662841313810843
DETREND,pca_recon,1,0.6828537509186501
DETREND,mahalanobis,2,0.8838826389281474
DETREND,pca_recon,2,0.9496862456894115
DETREND,mahalanobis,3,0.946350839504777
DETREND,pca_recon,3,0.9924246706993046
DETREND,mahalanobis,4,0.9990954830685738
DETREND,pca_recon,4,0.9994346769178585
DETREND,mahalanobis,6,1.0
DETREND,pca_recon,6,1.0
