modality,feature,top_cross_partner,top_cross_corr
audio,aud_mel48_std,env_day_index,0.784
audio,aud_mel47_mean,env_day_index,0.755
audio,aud_mel62_mean,vid_dark_fraction,0.629
audio,aud_mel12_mean,vid_gridmean15,0.587
audio,aud_mel26_std,vid_dark_fraction,0.444
audio,aud_mel00_mean,vid_gridmean03,0.421
audio,aud_mel10_mean,vid_gridmean03,0.375
audio,aud_n_frames,vid_gridmean15,0.373
audio,aud_mel17_mean,vid_gridmean01,0.361
audio,aud_mel10_std,env_day_index,0.326
video,vid_gridstd05,env_day_index,0.751
video,vid_gridmean15,env_day_index,0.719
video,vid_gridmean12,env_day_index,0.657
video,vid_gridmean00,env_day_index,0.642
video,vid_dark_fraction,aud_mel62_mean,0.629
video,vid_flow_mean_avg,env_day_index,0.539
video,vid_gridmean03,env_day_index,0.533
video,vid_gridstd03,env_day_index,0.523
env,env_day_index,aud_mel48_std,0.784
env,env_temp_roll_slope_c_per_day,vid_gridstd03,0.507
env,env_temp_am_range_c,vid_gridmean15,0.484
env,env_temp_am_pm_swing_c,vid_gridmean15,0.318
env,env_temp_am_min_c,vid_gridstd05,0.29
env,env_temp_rate_c_per_day,vid_gridstd03,0.232
