folder,session_index,n_files,n_readable,unique_creation_time,bug_pattern_holds,chapter_start_monotonic,duplicate_chapter_starts,n_irregular_gaps_over_90min,max_gap_min,session_start,session_end,anomaly
Room 2 ( 31 July - 3 Aug),1,1,1,1,True,True,False,0,,2025-07-31 12:49:47.066733,2025-07-31 12:49:47.066733,False
Room 2 ( 31 July - 3 Aug),2,85,85,1,True,True,False,0,50.18444556666667,2025-07-31 12:51:14.967633,2025-08-03 11:06:39.834167,False
"Room 2 (10, 11, 12, 13 Aug)",1,90,90,1,True,True,False,0,50.18444556666667,2025-08-10 11:49:25.100100,2025-08-13 14:15:44.967633,False
"Room 2 (11, 12, 13 July)",1,13,13,1,True,True,False,0,50.18444555,2025-07-13 13:06:09.133467,2025-07-13 23:08:21.266933,False
"Room 2 (11, 12, 13 July)",2,73,73,1,True,True,False,0,50.18444556666667,2025-07-13 23:41:48.600600,2025-07-16 11:55:01.400400,False
"Room 2 (14, 15, 16 July)",1,13,13,1,True,True,False,0,50.18444555,2025-07-15 15:44:53.333667,2025-07-16 01:47:05.467133,False
"Room 2 (14, 15, 16 July)",2,1,1,1,True,True,False,0,,2025-07-16 23:58:32.266933,2025-07-16 23:58:32.266933,False
"Room 2 (14, 15, 16 July)",3,1,1,1,True,True,False,0,,2025-07-17 02:37:16.467133,2025-07-17 02:37:16.467133,False
"Room 2 (14, 15, 16 July)",4,1,1,1,True,True,False,0,,2025-07-18 00:48:43.200200,2025-07-18 00:48:43.200200,False
"Room 2 (14, 15, 16 July)",5,1,1,1,True,True,False,0,,2025-07-18 03:27:27.467133,2025-07-18 03:27:27.467133,False
"Room 2 (14, 15, 16 July)",6,1,1,1,True,True,False,0,,2025-07-19 01:38:54.200200,2025-07-19 01:38:54.200200,False
"Room 2 (14, 15, 16 July)",7,1,1,1,True,True,False,0,,2025-07-19 04:17:38.467133,2025-07-19 04:17:38.467133,False
"Room 2 (14, 15, 16 July)",8,1,1,1,True,True,False,0,,2025-07-20 02:29:05.266933,2025-07-20 02:29:05.266933,False
"Room 2 (14, 15, 16 July)",9,1,1,1,True,True,False,0,,2025-07-20 05:07:49.467133,2025-07-20 05:07:49.467133,False
"Room 2 (14, 15, 16 July)",10,1,1,1,True,True,False,0,,2025-07-21 03:19:16.266933,2025-07-21 03:19:16.266933,False
"Room 2 (14, 15, 16 July)",11,1,1,1,True,True,False,0,,2025-07-21 05:58:00.533867,2025-07-21 05:58:00.533867,False
"Room 2 (14, 15, 16 July)",12,1,1,1,True,True,False,0,,2025-07-22 04:09:27.266933,2025-07-22 04:09:27.266933,False
"Room 2 (14, 15, 16 July)",13,1,1,1,True,True,False,0,,2025-07-22 06:48:11.533867,2025-07-22 06:48:11.533867,False
"Room 2 (14, 15, 16 July)",14,1,1,1,True,True,False,0,,2025-07-23 04:59:38.266933,2025-07-23 04:59:38.266933,False
"Room 2 (14, 15, 16 July)",15,1,1,1,True,True,False,0,,2025-07-23 07:38:22.533867,2025-07-23 07:38:22.533867,False
"Room 2 (14, 15, 16 July)",16,1,1,1,True,True,False,0,,2025-07-24 05:49:49.266933,2025-07-24 05:49:49.266933,False
"Room 2 (14, 15, 16 July)",17,1,1,1,True,True,False,0,,2025-07-24 08:28:33.533867,2025-07-24 08:28:33.533867,False
"Room 2 (14, 15, 16 July)",18,1,1,1,True,True,False,0,,2025-07-25 06:40:00.266933,2025-07-25 06:40:00.266933,False
"Room 2 (14, 15, 16 July)",19,1,1,1,True,True,False,0,,2025-07-25 09:18:44.533867,2025-07-25 09:18:44.533867,False
"Room 2 (14, 15, 16 July)",20,1,1,1,True,True,False,0,,2025-07-26 07:30:11.266933,2025-07-26 07:30:11.266933,False
"Room 2 (14, 15, 16 July)",21,16,16,1,True,True,False,0,50.18444555,2025-07-26 10:08:55.533867,2025-07-26 22:41:40.667333,False
"Room 2 (17, 18, 19 Aug)",1,54,54,1,True,True,False,0,50.18444556666667,2025-08-17 14:43:16.567233,2025-08-19 11:03:00.100100,False
"Room 2 (17, 18, 19 July)",1,1,1,1,True,True,False,0,,2025-07-15 02:33:03.400400,2025-07-15 02:33:03.400400,False
"Room 2 (17, 18, 19 July)",2,1,1,1,True,True,False,0,,2025-07-15 09:09:01.700700,2025-07-15 09:09:01.700700,False
"Room 2 (17, 18, 19 July)",3,1,1,1,True,True,False,0,,2025-07-16 03:23:14.400400,2025-07-16 03:23:14.400400,False
"Room 2 (17, 18, 19 July)",4,1,1,1,True,True,False,0,,2025-07-16 09:59:12.700700,2025-07-16 09:59:12.700700,False
"Room 2 (17, 18, 19 July)",5,1,1,1,True,True,False,0,,2025-07-17 04:13:25.400400,2025-07-17 04:13:25.400400,False
"Room 2 (17, 18, 19 July)",6,1,1,1,True,True,False,0,,2025-07-17 10:49:23.700700,2025-07-17 10:49:23.700700,False
"Room 2 (17, 18, 19 July)",7,1,1,1,True,True,False,0,,2025-07-18 05:03:36.400400,2025-07-18 05:03:36.400400,False
"Room 2 (17, 18, 19 July)",8,1,1,1,True,True,False,0,,2025-07-18 11:39:34.700700,2025-07-18 11:39:34.700700,False
"Room 2 (17, 18, 19 July)",9,1,1,1,True,True,False,0,,2025-07-19 05:53:47.400400,2025-07-19 05:53:47.400400,False
"Room 2 (17, 18, 19 July)",10,1,1,1,True,True,False,0,,2025-07-19 12:29:45.700700,2025-07-19 12:29:45.700700,False
"Room 2 (17, 18, 19 July)",11,1,1,1,True,True,False,0,,2025-07-20 06:43:58.400400,2025-07-20 06:43:58.400400,False
"Room 2 (17, 18, 19 July)",12,1,1,1,True,True,False,0,,2025-07-20 13:19:56.700700,2025-07-20 13:19:56.700700,False
"Room 2 (17, 18, 19 July)",13,1,1,1,True,True,False,0,,2025-07-21 07:34:09.467133,2025-07-21 07:34:09.467133,False
"Room 2 (17, 18, 19 July)",14,1,1,1,True,True,False,0,,2025-07-21 14:10:07.700700,2025-07-21 14:10:07.700700,False
"Room 2 (17, 18, 19 July)",15,1,1,1,True,True,False,0,,2025-07-22 08:24:20.467133,2025-07-22 08:24:20.467133,False
"Room 2 (17, 18, 19 July)",16,10,10,1,True,True,False,0,50.18444555,2025-07-22 15:00:18.700700,2025-07-22 22:31:57.767433,False
"Room 2 (17, 18, 19 July)",17,60,60,1,True,True,False,1,100.36777888333333,2025-07-22 23:31:51.667333,2025-07-25 01:42:52.333667,True
"Room 2 (19, 20, 21 Aug)",1,75,75,1,True,True,False,4,1390.56333,2025-08-19 12:31:38.834167,2025-08-23 11:19:47.300300,True
"Room 2 (20, 21, 22 July)",1,87,87,1,True,True,False,0,50.18444556666667,2025-07-19 19:57:11.700700,2025-07-22 19:07:00.700700,False
"Room 2 (23, 24, 25 Aug)",1,69,69,1,True,True,False,0,50.18444556666667,2025-08-23 06:00:03.667333,2025-08-25 14:52:32.333667,False
"Room 2 (25, 26, 27 Aug)",1,57,57,1,True,True,False,0,50.18444556666667,2025-08-25 15:28:43.567233,2025-08-27 14:19:00.166833,False
"Room 2 (27, 28, 29 Aug)",1,56,56,1,True,True,False,0,50.18444556666667,2025-08-27 14:46:51.867533,2025-08-29 12:46:57.400400,False
"Room 2 (29, 30 Aug)",1,41,41,1,True,True,False,0,50.18444556666667,2025-08-29 13:21:49.934267,2025-08-30 22:49:10.400400,False
"Room 2 (3, 4, 5 Aug)",1,59,59,1,True,True,False,0,50.18444556666667,2025-08-03 11:40:33.800800,2025-08-05 12:11:12.400400,False
"Room 2 (3, 4, 5, 6 July)",1,1,1,1,True,True,False,0,,2025-07-03 13:51:28.767433,2025-07-03 13:51:28.767433,False
"Room 2 (3, 4, 5, 6 July)",2,1,1,1,True,True,False,0,,2025-07-03 13:52:01.667333,2025-07-03 13:52:01.667333,False
"Room 2 (3, 4, 5, 6 July)",3,1,1,1,True,True,False,0,,2025-07-03 16:18:43.633967,2025-07-03 16:18:43.633967,False
"Room 2 (3, 4, 5, 6 July)",4,1,1,1,True,True,False,0,,2025-07-04 14:42:12.667333,2025-07-04 14:42:12.667333,False
"Room 2 (3, 4, 5, 6 July)",5,1,1,1,True,True,False,0,,2025-07-04 17:08:54.633967,2025-07-04 17:08:54.633967,False
"Room 2 (3, 4, 5, 6 July)",6,1,1,1,True,True,False,0,,2025-07-05 15:32:23.667333,2025-07-05 15:32:23.667333,False
"Room 2 (3, 4, 5, 6 July)",7,79,79,1,True,True,False,0,50.18444556666667,2025-07-05 17:59:05.700700,2025-07-08 11:13:24.433767,False
"Room 2 (31 Aug, 1 Sep)",1,45,45,1,True,True,False,0,50.18444556666667,2025-08-29 23:39:21.400400,2025-08-31 12:27:25.867533,False
"Room 2 (5, 6, 7 Aug)",1,57,57,1,True,True,False,0,50.18444556666667,2025-08-05 13:01:10.133467,2025-08-07 11:51:26.667333,False
"Room 2 (7, 8, 9, 10 Aug)",1,1,1,1,True,True,False,0,,2025-08-07 13:08:21.567233,2025-08-07 13:08:21.567233,False
"Room 2 (7, 8, 9, 10 Aug)",2,1,1,1,True,True,False,0,,2025-08-08 11:33:15.867533,2025-08-08 11:33:15.867533,False
"Room 2 (7, 8, 9, 10 Aug)",3,83,83,1,True,True,False,0,50.18444556666667,2025-08-08 13:58:32.567233,2025-08-11 10:33:35.367033,False
"Room 2 (8, 9, 10 July)",1,1,1,1,True,True,False,0,,2025-07-08 13:33:25.467133,2025-07-08 13:33:25.467133,False
"Room 2 (8, 9, 10 July)",2,1,1,1,True,True,False,0,,2025-07-09 12:49:25.533867,2025-07-09 12:49:25.533867,False
"Room 2 (8, 9, 10 July)",3,1,1,1,True,True,False,0,,2025-07-09 14:23:36.467133,2025-07-09 14:23:36.467133,False
"Room 2 (8, 9, 10 July)",4,1,1,1,True,True,False,0,,2025-07-10 13:39:36.533867,2025-07-10 13:39:36.533867,False
