folder,n_files,n_sessions,n_anomalous_sessions,unreadable,no_timecode,no_chapter_start,earliest_chapter_start,latest_chapter_start
Room 2 ( 31 July - 3 Aug),86,2,0,0,0,0,2025-07-31 12:49:47.066733,2025-08-03 11:06:39.834167
"Room 2 (10, 11, 12, 13 Aug)",90,1,0,0,0,0,2025-08-10 11:49:25.100100,2025-08-13 14:15:44.967633
"Room 2 (11, 12, 13 July)",86,2,0,0,0,0,2025-07-13 13:06:09.133467,2025-07-16 11:55:01.400400
"Room 2 (14, 15, 16 July)",48,21,0,0,0,0,2025-07-15 15:44:53.333667,2025-07-26 22:41:40.667333
"Room 2 (17, 18, 19 Aug)",54,1,0,0,0,0,2025-08-17 14:43:16.567233,2025-08-19 11:03:00.100100
"Room 2 (17, 18, 19 July)",85,17,1,0,0,0,2025-07-15 02:33:03.400400,2025-07-25 01:42:52.333667
"Room 2 (19, 20, 21 Aug)",75,1,1,0,0,0,2025-08-19 12:31:38.834167,2025-08-23 11:19:47.300300
"Room 2 (20, 21, 22 July)",87,1,0,0,0,0,2025-07-19 19:57:11.700700,2025-07-22 19:07:00.700700
"Room 2 (23, 24, 25 Aug)",69,1,0,0,0,0,2025-08-23 06:00:03.667333,2025-08-25 14:52:32.333667
"Room 2 (25, 26, 27 Aug)",57,1,0,0,0,0,2025-08-25 15:28:43.567233,2025-08-27 14:19:00.166833
"Room 2 (27, 28, 29 Aug)",56,1,0,0,0,0,2025-08-27 14:46:51.867533,2025-08-29 12:46:57.400400
"Room 2 (29, 30 Aug)",41,1,0,0,0,0,2025-08-29 13:21:49.934267,2025-08-30 22:49:10.400400
"Room 2 (3, 4, 5 Aug)",59,1,0,0,0,0,2025-08-03 11:40:33.800800,2025-08-05 12:11:12.400400
"Room 2 (3, 4, 5, 6 July)",85,7,0,0,0,0,2025-07-03 13:51:28.767433,2025-07-08 11:13:24.433767
"Room 2 (31 Aug, 1 Sep)",45,1,0,0,0,0,2025-08-29 23:39:21.400400,2025-08-31 12:27:25.867533
"Room 2 (5, 6, 7 Aug)",57,1,0,0,0,0,2025-08-05 13:01:10.133467,2025-08-07 11:51:26.667333
"Room 2 (7, 8, 9, 10 Aug)",85,3,0,0,0,0,2025-08-07 13:08:21.567233,2025-08-11 10:33:35.367033
"Room 2 (8, 9, 10 July)",36,25,0,0,0,0,2025-07-08 13:33:25.467133,2025-07-21 08:47:38.667333
"Room 2. (13, 14, 15 Aug)",40,1,0,0,0,0,2025-08-13 15:31:58.367033,2025-08-15 00:09:07.834167
"Room 2. (16, 17 Aug)",39,1,0,0,0,0,2025-08-16 06:00:03.867533,2025-08-17 13:47:02.266933
