folder,n_files,n_usable,n_records
Room 2 ( 31 July - 3 Aug),86,86,126789
"Room 2 (10, 11, 12, 13 Aug)",90,90,134833
"Room 2 (11, 12, 13 July)",86,86,128832
"Room 2 (14, 15, 16 July)",48,48,71082
"Room 2 (17, 18, 19 Aug)",54,54,81033
"Room 2 (17, 18, 19 July)",85,85,127541
"Room 2 (19, 20, 21 Aug)",75,75,46159
"Room 2 (20, 21, 22 July)",87,87,130809
"Room 2 (23, 24, 25 Aug)",69,69,102385
"Room 2 (25, 26, 27 Aug)",57,57,84390
"Room 2 (27, 28, 29 Aug)",56,56,83413
"Room 2 (29, 30 Aug)",41,41,61646
"Room 2 (3, 4, 5 Aug)",59,59,88395
"Room 2 (3, 4, 5, 6 July)",85,85,125981
"Room 2 (31 Aug, 1 Sep)",45,45,67134
"Room 2 (5, 6, 7 Aug)",57,57,85191
"Room 2 (7, 8, 9, 10 Aug)",85,85,125624
"Room 2 (8, 9, 10 July)",36,36,53367
"Room 2. (13, 14, 15 Aug)",40,40,60109
"Room 2. (16, 17 Aug)",39,39,58052
